iso,year,sector,carbon_pricing,length_sequence
ARE,1927.0,electricity_and_heat_production,0.0,0.0
ARE,1927.0,general,0.0,0.0
ARE,1927.0,transport,0.0,0.0
ARE,1927.0,buildings,0.0,0.0
ARE,1927.0,industry,0.0,0.0
ARE,1927.0,afolu,0.0,0.0
ARE,1941.0,electricity_and_heat_production,0.0,0.0
ARE,1941.0,general,0.0,0.0
ARE,1941.0,transport,0.0,0.0
ARE,1941.0,buildings,0.0,0.0
ARE,1941.0,industry,0.0,0.0
ARE,1941.0,afolu,0.0,0.0
ARE,1944.0,electricity_and_heat_production,0.0,0.0
ARE,1944.0,general,0.0,0.0
ARE,1944.0,transport,0.0,0.0
ARE,1944.0,buildings,0.0,0.0
ARE,1944.0,industry,0.0,0.0
ARE,1944.0,afolu,0.0,0.0
ARE,1954.0,electricity_and_heat_production,0.0,0.0
ARE,1954.0,general,0.0,0.0
ARE,1954.0,transport,0.0,0.0
ARE,1954.0,buildings,0.0,0.0
ARE,1954.0,industry,0.0,0.0
ARE,1954.0,afolu,0.0,0.0
ARE,1956.0,electricity_and_heat_production,0.0,0.0
ARE,1956.0,general,0.0,0.0
ARE,1956.0,transport,0.0,0.0
ARE,1956.0,buildings,0.0,0.0
ARE,1956.0,industry,0.0,0.0
ARE,1956.0,afolu,0.0,0.0
ARE,1964.0,electricity_and_heat_production,0.0,0.0
ARE,1964.0,general,0.0,0.0
ARE,1964.0,transport,0.0,0.0
ARE,1964.0,buildings,0.0,0.0
ARE,1964.0,industry,0.0,0.0
ARE,1964.0,afolu,0.0,0.0
ARE,1966.0,electricity_and_heat_production,0.0,0.0
ARE,1966.0,general,0.0,0.0
ARE,1966.0,transport,0.0,0.0
ARE,1966.0,buildings,0.0,0.0
ARE,1966.0,industry,0.0,0.0
ARE,1966.0,afolu,0.0,0.0
ARE,1970.0,electricity_and_heat_production,0.0,0.0
ARE,1970.0,general,0.0,0.0
ARE,1970.0,transport,0.0,0.0
ARE,1970.0,buildings,0.0,0.0
ARE,1970.0,industry,0.0,0.0
ARE,1970.0,afolu,0.0,0.0
ARE,1971.0,electricity_and_heat_production,0.0,0.0
ARE,1971.0,general,0.0,0.0
ARE,1971.0,transport,0.0,0.0
ARE,1971.0,buildings,0.0,0.0
ARE,1971.0,industry,0.0,0.0
ARE,1971.0,afolu,0.0,0.0
ARE,1974.0,electricity_and_heat_production,0.0,0.0
ARE,1974.0,general,0.0,0.0
ARE,1974.0,transport,0.0,0.0
ARE,1974.0,buildings,0.0,0.0
ARE,1974.0,industry,0.0,0.0
ARE,1974.0,afolu,0.0,0.0
ARE,1975.0,electricity_and_heat_production,0.0,0.0
ARE,1975.0,general,0.0,0.0
ARE,1975.0,transport,0.0,0.0
ARE,1975.0,buildings,0.0,0.0
ARE,1975.0,industry,0.0,0.0
ARE,1975.0,afolu,0.0,0.0
ARE,1976.0,electricity_and_heat_production,0.0,0.0
ARE,1976.0,general,0.0,0.0
ARE,1976.0,transport,0.0,0.0
ARE,1976.0,buildings,0.0,0.0
ARE,1976.0,industry,0.0,0.0
ARE,1976.0,afolu,0.0,0.0
ARE,1977.0,electricity_and_heat_production,0.0,0.0
ARE,1977.0,general,0.0,0.0
ARE,1977.0,transport,0.0,0.0
ARE,1977.0,buildings,0.0,0.0
ARE,1977.0,industry,0.0,0.0
ARE,1977.0,afolu,0.0,0.0
ARE,1978.0,electricity_and_heat_production,0.0,0.0
ARE,1978.0,general,0.0,0.0
ARE,1978.0,transport,0.0,0.0
ARE,1978.0,buildings,0.0,0.0
ARE,1978.0,industry,0.0,0.0
ARE,1978.0,afolu,0.0,0.0
ARE,1979.0,electricity_and_heat_production,0.0,0.0
ARE,1979.0,general,0.0,0.0
ARE,1979.0,transport,0.0,0.0
ARE,1979.0,buildings,0.0,0.0
ARE,1979.0,industry,0.0,0.0
ARE,1979.0,afolu,0.0,0.0
ARE,1980.0,electricity_and_heat_production,0.0,0.0
ARE,1980.0,general,0.0,0.0
ARE,1980.0,transport,0.0,0.0
ARE,1980.0,buildings,0.0,0.0
ARE,1980.0,industry,0.0,0.0
ARE,1980.0,afolu,0.0,0.0
ARE,1981.0,electricity_and_heat_production,0.0,0.0
ARE,1981.0,general,0.0,0.0
ARE,1981.0,transport,0.0,0.0
ARE,1981.0,buildings,0.0,0.0
ARE,1981.0,industry,0.0,0.0
ARE,1981.0,afolu,0.0,0.0
