iso,year,gdp_pc_ppp,population,reserves_oil,reserves_gas,reserves_coal,coc,hdi,emissions_total,log_gdp_pc_ppp
ARE,1960,103604.906761616,92417.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1961,103604.906761616,100801.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1962,103604.906761616,112112.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1963,103604.906761616,125130.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1964,103604.906761616,138049.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1965,103604.906761616,149855.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1966,103604.906761616,159979.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1967,103604.906761616,169768.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1968,103604.906761616,182620.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1969,103604.906761616,203103.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,,11.54833997024981
ARE,1970,103604.906761616,234512.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,29227305.80948896,11.54833997024981
ARE,1971,103604.906761616,277463.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,35283844.51721602,11.54833997024981
ARE,1972,103604.906761616,330968.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,38863471.73211469,11.54833997024981
ARE,1973,103604.906761616,394625.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,49937909.30585764,11.54833997024981
ARE,1974,103604.906761616,467457.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,51387313.06020262,11.54833997024981
ARE,1975,103604.906761616,548295.0,4.586560989157614,569.387360753776,0.0,-0.01,0.474,52473474.69251247,11.54833997024981
