country,instrument_t,instrument_tminus1,conditional_probability
ARG,carbon,grants,0.8
ARG,carbon,information,0.6
ARG,carbon,policy,1.0
ARG,carbon,procurement,0.4
ARG,carbon,regulatory,0.8
ARG,carbon,research,0.6
ARG,carbon,voluntary,0.0
ARG,grants,carbon,0.0
ARG,grants,information,0.0
ARG,grants,policy,0.25
ARG,grants,procurement,0.0
ARG,grants,regulatory,0.25
ARG,grants,research,0.0
ARG,grants,voluntary,0.0
ARG,information,carbon,0.16666666666666666
ARG,information,grants,0.6666666666666666
ARG,information,policy,0.6666666666666666
ARG,information,procurement,0.16666666666666666
ARG,information,regulatory,0.5
ARG,information,research,0.16666666666666666
ARG,information,voluntary,0.0
ARG,policy,carbon,0.0
ARG,policy,grants,0.3333333333333333
ARG,policy,information,0.16666666666666666
ARG,policy,procurement,0.0
ARG,policy,regulatory,0.5
ARG,policy,research,0.0
ARG,policy,voluntary,0.0
ARG,procurement,carbon,0.0
ARG,procurement,grants,0.6666666666666666
ARG,procurement,information,0.6666666666666666
ARG,procurement,policy,1.0
ARG,procurement,regulatory,1.0
ARG,procurement,research,0.6666666666666666
ARG,procurement,voluntary,0.0
ARG,regulatory,carbon,0.0
ARG,regulatory,grants,0.4
ARG,regulatory,information,0.0
ARG,regulatory,policy,0.2
ARG,regulatory,procurement,0.0
ARG,regulatory,research,0.0
ARG,regulatory,voluntary,0.0
ARG,research,carbon,0.0
ARG,research,grants,1.0
ARG,research,information,0.0
ARG,research,policy,0.6666666666666666
ARG,research,procurement,0.0
ARG,research,regulatory,0.6666666666666666
ARG,research,voluntary,0.0
ARG,voluntary,carbon,1.0
ARG,voluntary,grants,1.0
ARG,voluntary,information,1.0
ARG,voluntary,policy,1.0
ARG,voluntary,procurement,1.0
ARG,voluntary,regulatory,1.0
ARG,voluntary,research,1.0
CAN,carbon,grants,1.0
CAN,carbon,information,0.8
CAN,carbon,policy,1.0
CAN,carbon,procurement,1.0
CAN,carbon,regulatory,1.0
CAN,carbon,research,0.6
CAN,carbon,voluntary,0.8
CAN,grants,carbon,0.0
CAN,grants,information,0.5
CAN,grants,policy,0.16666666666666666
CAN,grants,procurement,0.16666666666666666
CAN,grants,regulatory,0.3333333333333333
CAN,grants,research,0.3333333333333333
CAN,grants,voluntary,0.3333333333333333
CAN,information,carbon,0.0
CAN,information,grants,0.4
CAN,information,policy,0.2
CAN,information,procurement,0.2
CAN,information,regulatory,0.2
CAN,information,research,0.6
CAN,information,voluntary,0.0
CAN,policy,carbon,0.0
CAN,policy,grants,0.6666666666666666
CAN,policy,information,0.3333333333333333
CAN,policy,procurement,0.3333333333333333
CAN,policy,regulatory,0.5
CAN,policy,research,0.3333333333333333
CAN,policy,voluntary,0.16666666666666666
CAN,procurement,carbon,0.0
CAN,procurement,grants,0.6666666666666666
CAN,procurement,information,0.5
CAN,procurement,policy,0.3333333333333333
CAN,procurement,regulatory,0.6666666666666666
CAN,procurement,research,0.5
CAN,procurement,voluntary,0.3333333333333333
CAN,regulatory,carbon,0.0
CAN,regulatory,grants,0.5
CAN,regulatory,information,0.5
CAN,regulatory,policy,0.3333333333333333
CAN,regulatory,procurement,0.16666666666666666
CAN,regulatory,research,0.3333333333333333
CAN,regulatory,voluntary,0.16666666666666666
CAN,research,carbon,0.0
CAN,research,grants,0.25
CAN,research,information,0.25
CAN,research,policy,0.0
CAN,research,procurement,0.25
CAN,research,regulatory,0.25
CAN,research,voluntary,0.0
CAN,voluntary,carbon,0.0
CAN,voluntary,grants,0.6
CAN,voluntary,information,0.4
CAN,voluntary,policy,0.6
CAN,voluntary,procurement,0.4
CAN,voluntary,regulatory,0.4
CAN,voluntary,research,0.8
CHE,carbon,grants,0.5
CHE,carbon,information,0.0
CHE,carbon,policy,1.0
CHE,carbon,procurement,0.0
CHE,carbon,regulatory,0.0
CHE,carbon,research,0.0
CHE,carbon,voluntary,1.0
CHE,grants,carbon,0.0
CHE,grants,information,0.0
CHE,grants,policy,0.25
CHE,grants,procurement,0.0
CHE,grants,regulatory,0.0
CHE,grants,research,0.0
CHE,grants,voluntary,0.25
CHE,information,carbon,0.0
CHE,information,grants,0.6666666666666666
CHE,information,policy,0.3333333333333333
CHE,information,procurement,0.0
CHE,information,regulatory,0.3333333333333333
CHE,information,research,0.0
CHE,information,voluntary,0.0
CHE,policy,carbon,0.0
CHE,policy,grants,0.3333333333333333
CHE,policy,information,0.3333333333333333
CHE,policy,procurement,0.0
CHE,policy,regulatory,0.3333333333333333
CHE,policy,research,0.16666666666666666
CHE,policy,voluntary,0.16666666666666666
CHE,procurement,carbon,0.0
CHE,procurement,grants,1.0
CHE,procurement,information,1.0
CHE,procurement,policy,1.0
CHE,procurement,regulatory,1.0
CHE,procurement,research,1.0
CHE,procurement,voluntary,0.0
CHE,regulatory,carbon,0.25
CHE,regulatory,grants,0.5
CHE,regulatory,information,0.25
CHE,regulatory,policy,0.5
CHE,regulatory,procurement,0.0
CHE,regulatory,research,0.0
CHE,regulatory,voluntary,0.25
CHE,research,carbon,0.0
CHE,research,grants,1.0
CHE,research,information,0.0
CHE,research,policy,0.0
CHE,research,procurement,0.0
CHE,research,regulatory,1.0
CHE,research,voluntary,0.0
CHE,voluntary,carbon,0.0
CHE,voluntary,grants,0.5
CHE,voluntary,information,0.5
CHE,voluntary,policy,0.25
CHE,voluntary,procurement,0.0
CHE,voluntary,regulatory,0.5
CHE,voluntary,research,0.25
CHL,carbon,grants,0.0
CHL,carbon,information,1.0
CHL,carbon,policy,0.0
CHL,carbon,procurement,0.0
CHL,carbon,regulatory,1.0
CHL,carbon,research,0.0
CHL,carbon,voluntary,0.0
CHL,grants,carbon,0.0
CHL,grants,information,0.0
CHL,grants,policy,0.0
CHL,grants,procurement,0.0
CHL,grants,regulatory,0.3333333333333333
CHL,grants,research,0.0
CHL,grants,voluntary,0.0
CHL,information,carbon,0.0
CHL,information,grants,0.2
CHL,information,policy,0.2
CHL,information,procurement,0.2
CHL,information,regulatory,0.4
CHL,information,research,0.2
CHL,information,voluntary,0.0
CHL,policy,carbon,0.16666666666666666
CHL,policy,grants,0.16666666666666666
CHL,policy,information,0.5
