iso,sector,carbon_pricing,grants_and_subsidies,information_and_education,policy_support,procurement_and_investment,regulatory_instruments,research_development_and_deployment,voluntary_approaches
ARE,afolu,,,,,,,,
ARE,buildings,,,2.0,,2.0,1.0,,
ARE,electricity_and_heat_production,,3.0,4.0,2.0,4.0,4.0,1.0,
ARE,general,,,,1.0,,,,
ARE,industry,,,,,1.0,,2.0,
ARE,transport,,1.0,,1.0,,,1.0,
ARG,afolu,4.0,1.0,3.0,2.0,,2.0,3.0,
ARG,buildings,2.0,,2.0,2.0,,1.0,,
ARG,electricity_and_heat_production,6.0,1.0,5.0,1.0,4.0,3.0,2.0,
ARG,general,,,3.0,1.0,3.0,2.0,,
ARG,industry,2.0,1.0,2.0,1.0,,,,
ARG,transport,5.0,1.0,3.0,2.0,4.0,3.0,5.0,5.0
AUS,afolu,,3.0,2.0,4.0,4.0,1.0,4.0,4.0
AUS,buildings,,6.0,1.0,3.0,7.0,2.0,4.0,5.0
AUS,electricity_and_heat_production,,1.0,1.0,2.0,3.0,1.0,2.0,1.0
AUS,general,,2.0,3.0,1.0,4.0,5.0,2.0,
AUS,industry,,4.0,1.0,2.0,5.0,1.0,3.0,2.0
AUS,transport,,1.0,3.0,3.0,,2.0,5.0,4.0
BRA,afolu,,2.0,4.0,3.0,1.0,2.0,4.0,
BRA,buildings,,3.0,1.0,4.0,3.0,2.0,2.0,4.0
BRA,electricity_and_heat_production,,1.0,2.0,3.0,2.0,3.0,4.0,
BRA,general,,3.0,1.0,2.0,4.0,5.0,3.0,4.0
BRA,industry,,2.0,1.0,5.0,4.0,3.0,3.0,6.0
BRA,transport,,2.0,4.0,3.0,5.0,1.0,5.0,
CAN,afolu,3.0,2.0,,3.0,2.0,1.0,,
CAN,buildings,5.0,2.0,1.0,3.0,4.0,2.0,,2.0
CAN,electricity_and_heat_production,7.0,1.0,4.0,5.0,3.0,2.0,2.0,6.0
CAN,general,,1.0,4.0,2.0,4.0,3.0,2.0,4.0
CAN,industry,4.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0
CAN,transport,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
CHE,afolu,,,,1.0,,,,
CHE,buildings,,3.0,1.0,4.0,,2.0,,4.0
CHE,electricity_and_heat_production,,1.0,4.0,3.0,5.0,2.0,5.0,5.0
CHE,general,3.0,,,1.0,,2.0,,3.0
CHE,industry,4.0,2.0,,3.0,,,,1.0
CHE,transport,,1.0,4.0,2.0,,3.0,,
CHL,afolu,,1.0,2.0,1.0,1.0,1.0,2.0,
CHL,buildings,,,2.0,1.0,,2.0,,
CHL,electricity_and_heat_production,,1.0,1.0,2.0,2.0,1.0,,
CHL,general,,,,1.0,,,,
CHL,industry,1.0,,1.0,1.0,,1.0,,
CHL,transport,,1.0,1.0,1.0,1.0,1.0,,
CHN,afolu,,4.0,,1.0,3.0,2.0,,5.0
CHN,buildings,,3.0,1.0,2.0,2.0,1.0,4.0,5.0
CHN,electricity_and_heat_production,,1.0,4.0,2.0,3.0,2.0,3.0,
CHN,general,,,,1.0,2.0,1.0,2.0,
CHN,industry,,4.0,3.0,2.0,3.0,1.0,3.0,5.0
CHN,transport,,2.0,6.0,3.0,4.0,1.0,5.0,
COL,afolu,,1.0,1.0,1.0,1.0,1.0,1.0,
COL,buildings,3.0,2.0,1.0,3.0,,2.0,,
COL,electricity_and_heat_production,3.0,,,1.0,,2.0,,
COL,general,,2.0,3.0,1.0,,2.0,3.0,
COL,industry,2.0,1.0,2.0,1.0,,1.0,,
COL,transport,4.0,3.0,4.0,2.0,,1.0,,
DEU,afolu,,3.0,2.0,2.0,,1.0,,4.0
DEU,buildings,,3.0,1.0,4.0,5.0,2.0,6.0,7.0
DEU,electricity_and_heat_production,7.0,2.0,5.0,1.0,4.0,3.0,4.0,6.0
DEU,general,,2.0,1.0,1.0,5.0,2.0,3.0,4.0
DEU,industry,5.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0
DEU,transport,6.0,1.0,4.0,3.0,5.0,2.0,3.0,4.0
EGY,afolu,,,,,,,,
EGY,buildings,,,1.0,1.0,,1.0,,
EGY,electricity_and_heat_production,,2.0,3.0,1.0,3.0,3.0,,
EGY,general,,,2.0,1.0,,2.0,,
EGY,industry,,,,,,1.0,,
EGY,transport,,,,,,,,
ESP,afolu,3.0,3.0,2.0,2.0,,1.0,,3.0
ESP,buildings,5.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0
ESP,electricity_and_heat_production,5.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0
